File name;Optimal solution;Iteration number;Alpha;Initial temperature;Best found solution;Relative error
gap1.txt;336;1;0.95;100;293.00;12.80
gap1.txt;336;2;0.95;100;291.00;13.39
gap1.txt;336;3;0.95;100;295.00;12.20
gap1.txt;336;4;0.95;100;290.00;13.69
gap1.txt;336;5;0.95;100;291.00;13.39
gap1.txt;336;6;0.95;100;289.00;13.99
gap1.txt;336;7;0.95;100;300.00;10.71
gap1.txt;336;8;0.95;100;290.00;13.69
gap1.txt;336;9;0.95;100;286.00;14.88
gap1.txt;336;10;0.95;100;298.00;11.31
gap2.txt;434;1;0.95;100;373.00;14.06
gap2.txt;434;2;0.95;100;371.00;14.52
gap2.txt;434;3;0.95;100;355.00;18.20
gap2.txt;434;4;0.95;100;373.00;14.06
gap2.txt;434;5;0.95;100;368.00;15.21
gap2.txt;434;6;0.95;100;376.00;13.36
gap2.txt;434;7;0.95;100;370.00;14.75
gap2.txt;434;8;0.95;100;381.00;12.21
gap2.txt;434;9;0.95;100;387.00;10.83
gap2.txt;434;10;0.95;100;374.00;13.82
gap3.txt;580;1;0.95;100;506.00;12.76
gap3.txt;580;2;0.95;100;519.00;10.52
gap3.txt;580;3;0.95;100;507.00;12.59
gap3.txt;580;4;0.95;100;518.00;10.69
gap3.txt;580;5;0.95;100;503.00;13.28
gap3.txt;580;6;0.95;100;514.00;11.38
gap3.txt;580;7;0.95;100;521.00;10.17
gap3.txt;580;8;0.95;100;509.00;12.24
gap3.txt;580;9;0.95;100;506.00;12.76
gap3.txt;580;10;0.95;100;510.00;12.07
gap4.txt;656;1;0.95;100;548.00;16.46
gap4.txt;656;2;0.95;100;535.00;18.45
gap4.txt;656;3;0.95;100;532.00;18.90
gap4.txt;656;4;0.95;100;538.00;17.99
gap4.txt;656;5;0.95;100;543.00;17.23
gap4.txt;656;6;0.95;100;540.00;17.68
gap4.txt;656;7;0.95;100;528.00;19.51
gap4.txt;656;8;0.95;100;532.00;18.90
gap4.txt;656;9;0.95;100;548.00;16.46
gap4.txt;656;10;0.95;100;535.00;18.45
gap5.txt;563;1;0.95;100;491.00;12.79
gap5.txt;563;2;0.95;100;499.00;11.37
gap5.txt;563;3;0.95;100;486.00;13.68
gap5.txt;563;4;0.95;100;490.00;12.97
gap5.txt;563;5;0.95;100;490.00;12.97
gap5.txt;563;6;0.95;100;501.00;11.01
gap5.txt;563;7;0.95;100;488.00;13.32
gap5.txt;563;8;0.95;100;493.00;12.43
gap5.txt;563;9;0.95;100;495.00;12.08
gap5.txt;563;10;0.95;100;507.00;9.95
gap6.txt;761;1;0.95;100;648.00;14.85
gap6.txt;761;2;0.95;100;665.00;12.61
gap6.txt;761;3;0.95;100;661.00;13.14
gap6.txt;761;4;0.95;100;636.00;16.43
gap6.txt;761;5;0.95;100;665.00;12.61
gap6.txt;761;6;0.95;100;648.00;14.85
gap6.txt;761;7;0.95;100;647.00;14.98
gap6.txt;761;8;0.95;100;649.00;14.72
gap6.txt;761;9;0.95;100;646.00;15.11
gap6.txt;761;10;0.95;100;661.00;13.14
gap7.txt;942;1;0.95;100;821.00;12.85
gap7.txt;942;2;0.95;100;824.00;12.53
gap7.txt;942;3;0.95;100;815.00;13.48
gap7.txt;942;4;0.95;100;822.00;12.74
gap7.txt;942;5;0.95;100;824.00;12.53
gap7.txt;942;6;0.95;100;808.00;14.23
gap7.txt;942;7;0.95;100;823.00;12.63
gap7.txt;942;8;0.95;100;822.00;12.74
gap7.txt;942;9;0.95;100;809.00;14.12
gap7.txt;942;10;0.95;100;828.00;12.10
gap8.txt;1133;1;0.95;100;971.00;14.30
gap8.txt;1133;2;0.95;100;1003.00;11.47
gap8.txt;1133;3;0.95;100;994.00;12.27
gap8.txt;1133;4;0.95;100;978.00;13.68
gap8.txt;1133;5;0.95;100;982.00;13.33
gap8.txt;1133;6;0.95;100;962.00;15.09
gap8.txt;1133;7;0.95;100;987.00;12.89
gap8.txt;1133;8;0.95;100;983.00;13.24
gap8.txt;1133;9;0.95;100;983.00;13.24
gap8.txt;1133;10;0.95;100;990.00;12.62
gap9.txt;709;1;0.95;100;601.00;15.23
gap9.txt;709;2;0.95;100;581.00;18.05
gap9.txt;709;3;0.95;100;585.00;17.49
gap9.txt;709;4;0.95;100;600.00;15.37
gap9.txt;709;5;0.95;100;575.00;18.90
gap9.txt;709;6;0.95;100;572.00;19.32
gap9.txt;709;7;0.95;100;597.00;15.80
gap9.txt;709;8;0.95;100;569.00;19.75
gap9.txt;709;9;0.95;100;586.00;17.35
gap9.txt;709;10;0.95;100;601.00;15.23
gap10.txt;958;1;0.95;100;809.00;15.55
gap10.txt;958;2;0.95;100;808.00;15.66
gap10.txt;958;3;0.95;100;818.00;14.61
gap10.txt;958;4;0.95;100;817.00;14.72
gap10.txt;958;5;0.95;100;823.00;14.09
gap10.txt;958;6;0.95;100;813.00;15.14
gap10.txt;958;7;0.95;100;819.00;14.51
gap10.txt;958;8;0.95;100;819.00;14.51
gap10.txt;958;9;0.95;100;803.00;16.18
gap10.txt;958;10;0.95;100;827.00;13.67
gap11.txt;1139;1;0.95;100;898.00;21.16
gap11.txt;1139;2;0.95;100;902.00;20.81
gap11.txt;1139;3;0.95;100;920.00;19.23
gap11.txt;1139;4;0.95;100;905.00;20.54
gap11.txt;1139;5;0.95;100;923.00;18.96
gap11.txt;1139;6;0.95;100;915.00;19.67
gap11.txt;1139;7;0.95;100;909.00;20.19
gap11.txt;1139;8;0.95;100;901.00;20.90
gap11.txt;1139;9;0.95;100;886.00;22.21
gap11.txt;1139;10;0.95;100;921.00;19.14
gap12.txt;1451;1;0.95;100;1246.00;14.13
gap12.txt;1451;2;0.95;100;1231.00;15.16
gap12.txt;1451;3;0.95;100;1234.00;14.96
gap12.txt;1451;4;0.95;100;1218.00;16.06
gap12.txt;1451;5;0.95;100;1224.00;15.64
gap12.txt;1451;6;0.95;100;1218.00;16.06
gap12.txt;1451;7;0.95;100;1231.00;15.16
gap12.txt;1451;8;0.95;100;1239.00;14.61
gap12.txt;1451;9;0.95;100;1210.00;16.61
gap12.txt;1451;10;0.95;100;1229.00;15.30
